dow,hour,mean_kwh
0,0,0.09846730769232775
0,1,0.06329038461539872
0,2,0.051457692307709434
0,3,0.051005769230767745
0,4,0.04915769230772359
0,5,0.05003653846151792
0,6,0.06884038461541002
0,7,0.06983269230764354
0,8,0.09559807692309312
0,9,0.10820000000005796
0,10,0.10793653846149377
0,11,0.10898841698839618
0,12,0.0898255813953425
0,13,0.10239922480621162
0,14,0.11766860465117444
0,15,0.12011046511623827
0,16,0.13384108527130353
0,17,0.1257635658915121
0,18,0.12483527131782057
0,19,0.11131976744187948
0,20,0.13796511627909191
0,21,0.12860271317826005
0,22,0.1247267441860966
0,23,0.13311627906968657
1,0,0.09056201550393858
1,1,0.06516860465111775
1,2,0.05186434108530778
1,3,0.04974612403097577
1,4,0.047548449612388716
1,5,0.04966279069767481
1,6,0.06898643410853371
1,7,0.06943217054267312
1,8,0.10639728682166281
1,9,0.11525968992251266
1,10,0.10843217054260926
1,11,0.09179651162789325
1,12,0.10785077519382634
1,13,0.11624031007753968
1,14,0.11336046511624145
1,15,0.1295891472868542
1,16,0.12168604651163313
1,17,0.12500968992242972
1,18,0.11845348837210594
1,19,0.1266821705427034
1,20,0.1303779069767047
1,21,0.12820348837211465
1,22,0.12797868217051495
1,23,0.10735271317832322
2,0,0.08597687861269106
2,1,0.06356923076921073
2,2,0.05374807692309542
2,3,0.049984615384626244
2,4,0.05041730769229826
2,5,0.050215384615407505
2,6,0.06761730769227982
2,7,0.07033076923074147
2,8,0.10669615384617127
2,9,0.10791153846150617
2,10,0.1126153846154571
2,11,0.1069576923076476
2,12,0.10617307692308924
2,13,0.12162692307690752
2,14,0.15298461538464275
2,15,0.15142115384609706
2,16,0.12805769230776254
2,17,0.11330192307688357
2,18,0.11505961538460864
2,19,0.12247884615386423
2,20,0.13858846153850138
2,21,0.14557499999996254
2,22,0.13307692307693847
2,23,0.11329038461533575
3,0,0.0807153846154681
3,1,0.0582057692307654
3,2,0.04937307692304365
3,3,0.05008846153850405
3,4,0.04934423076920911
3,5,0.05080192307694653
3,6,0.06793846153836267
3,7,0.07366730769235451
3,8,0.10440576923073282
3,9,0.1043673076923369
3,10,0.09920384615385885
3,11,0.08874807692307933
3,12,0.08880384615381445
3,13,0.10742307692314451
3,14,0.12110769230764093
3,15,0.12144423076928992
3,16,0.12815961538455947
3,17,0.12178846153850338
3,18,0.11634423076921288
3,19,0.11171923076918715
3,20,0.12973269230775047
3,21,0.14257307692302953
3,22,0.12587500000004884
3,23,0.12775961538460742
4,0,0.08912692307689073
4,1,0.062032692307688056
4,2,0.05418653846152385
4,3,0.050261538461560264
4,4,0.04987307692309304
4,5,0.04888461538463651
4,6,0.0689788461538473
4,7,0.0753153846153894
4,8,0.10618076923076213
4,9,0.11308653846153552
4,10,0.10643992248057565
4,11,0.10610852713180488
4,12,0.11447868217053189
4,13,0.1141317829457361
4,14,0.11696511627915313
4,15,0.13845155038757714
4,16,0.13223837209296446
4,17,0.132312015503878
4,18,0.12643798449610677
4,19,0.11956782945739981
4,20,0.14710271317827822
4,21,0.15650193798444875
4,22,0.1449670542635868
4,23,0.1260310077519471
5,0,0.09796531791912255
5,1,0.0691769230769226
5,2,0.05314615384613367
5,3,0.05009230769234399
5,4,0.0500019230768605
5,5,0.04968461538467706
5,6,0.06855961538458359
5,7,0.06461923076925674
5,8,0.09420576923075015
5,9,0.10735769230764862
5,10,0.1127653846154212
5,11,0.13648076923078545
5,12,0.136728846153787
5,13,0.1575980769231102
5,14,0.16523269230769283
5,15,0.15669423076925132
5,16,0.15789807692310834
5,17,0.16096153846151537
5,18,0.16878076923076152
5,19,0.18219999999994868
5,20,0.18381346153853254
5,21,0.16159038461533223
5,22,0.15133269230769097
5,23,0.14955769230773164
6,0,0.12818846153847796
6,1,0.08695576923074931
6,2,0.05492557251907867
6,3,0.052603846153802945
6,4,0.050276923076965505
6,5,0.0493942307692123
6,6,0.0672846153845827
6,7,0.059559615384670486
6,8,0.08662499999999664
6,9,0.09418653846152945
6,10,0.1160211538461471
6,11,0.16612307692302797
6,12,0.17981153846153924
6,13,0.19757115384619423
6,14,0.23388076923081197
6,15,0.21055384615381698
6,16,0.195886538461519
6,17,0.17778269230769603
6,18,0.15627115384618614
6,19,0.14884038461540022
6,20,0.16528461538454253
6,21,0.1676615384615231
6,22,0.1519749999999651
6,23,0.1355750000000276
